Number of Data points,Accuracy
0,0.810318154
1,0.809578261
2,0.749176027
3,0.568574696
4,0.894733302
5,0.83392749
6,0.974843613
7,0.957691532
8,0.982242551
9,0.979081187
10,0.987085491
11,0.983453286
12,0.982108024
13,0.9881617
14,0.985605704
15,0.982780655
16,0.986950965
17,0.984933073
18,0.987959911
19,0.986412861
20,0.987287281
21,0.987287281
22,0.986749176
23,0.987825385
24,0.987152754
25,0.987758122
26,0.987287281
27,0.986950965
28,0.988027174
29,0.987220017
30,0.987825385
31,0.987825385
32,0.987287281
33,0.987825385
34,0.987690859
35,0.987690859
36,0.987825385
37,0.98748907
38,0.987690859
39,0.988027174
40,0.988430753
41,0.988027174
42,0.988834331
43,0.989305173
44,0.988968857
45,0.988767068
46,0.988565279
47,0.988901594
48,0.988699805
49,0.988968857
50,0.988632542
51,0.988094437
52,0.988767068
53,0.988632542
54,0.989439699
55,0.988767068
56,0.988901594
57,0.988901594
58,0.988968857
59,0.988901594
60,0.988968857
61,0.990045066
62,0.989843277
63,0.990179592
64,0.989708751
65,0.989708751
66,0.989574225
67,0.989843277
68,0.98991054
69,0.98991054
70,0.990045066
71,0.990045066
72,0.990045066
73,0.989977803
74,0.989977803
75,0.989776014
76,0.989977803
77,0.989641488
78,0.989843277
79,0.989977803
80,0.98991054
81,0.989776014
82,0.990246855
83,0.990045066
84,0.990045066
85,0.990045066
86,0.990112329
87,0.990179592
88,0.991390328
89,0.991323065
90,0.991457591
91,0.991323065
92,0.990852223
93,0.992062958
94,0.992870115
95,0.994417166
96,0.99408085
97,0.993744535
98,0.994282639
99,0.993677272
100,0.993542746
101,0.994282639
102,0.994148113
103,0.994148113
104,0.994417166
105,0.994215376
106,0.994349902
107,0.994417166
108,0.994417166
109,0.994484429
110,0.994417166
111,0.994282639
112,0.994282639
113,0.994618955
114,0.994282639
115,0.994484429
116,0.994484429
117,0.994618955
118,0.994888007
119,0.994820744
120,0.994888007
121,0.994888007
122,0.994753481
123,0.994820744
124,0.994753481
125,0.994753481
126,0.994686218
127,0.994820744
128,0.994753481
129,0.994820744
130,0.994753481
131,0.994753481
132,0.994686218
133,0.994417166
134,0.994484429
135,0.994618955
136,0.994888007
137,0.994820744
138,0.995022533
139,0.995224322
140,0.995157059
141,0.995157059
142,0.995089796
143,0.995493375
144,0.995493375
145,0.995426112
146,0.995224322
147,0.995291585
148,0.995157059
149,0.995358848
150,0.995358848
151,0.995426112
152,0.995358848
153,0.995426112
154,0.995493375
155,0.995493375
156,0.995493375
157,0.995426112
158,0.995627901
159,0.995560638
160,0.995358848
161,0.995426112
162,0.995426112
163,0.995426112
164,0.995358848
165,0.995493375
166,0.995358848
167,0.995358848
168,0.995426112
169,0.995358848
170,0.995426112
171,0.995426112
172,0.995358848
173,0.995493375
174,0.995493375
175,0.995493375
176,0.995493375
177,0.995627901
178,0.995627901
179,0.995560638
180,0.995426112
181,0.995358848
182,0.995358848
183,0.995291585
184,0.995358848
185,0.995426112
186,0.995426112
187,0.995358848
188,0.995224322
189,0.995426112
190,0.995426112
191,0.995426112
192,0.995291585
193,0.995426112
194,0.995493375
195,0.995493375
196,0.995426112
197,0.995627901
198,0.995426112
199,0.995358848
200,0.995493375
201,0.995493375
202,0.995695164
203,0.995493375
204,0.995762427
205,0.99582969
206,0.996031479
207,0.996166005
208,0.995964216
209,0.995964216
210,0.996166005
211,0.996300531
212,0.996166005
213,0.996233268
214,0.996502321
215,0.996435058
216,0.996502321
217,0.996435058
218,0.996502321
219,0.996435058
220,0.996435058
221,0.996435058
222,0.996435058
223,0.996435058
224,0.996300531
225,0.996367794
226,0.996367794
227,0.996300531
228,0.996367794
229,0.996300531
230,0.996367794
231,0.996367794
232,0.996233268
233,0.996233268
234,0.996367794
235,0.996300531
236,0.996300531
237,0.996300531
238,0.996300531
239,0.996233268
240,0.996367794
241,0.996367794
242,0.996300531
243,0.996367794
244,0.996367794
245,0.996367794
246,0.996367794
247,0.996367794
248,0.996636847
249,0.996636847
250,0.99670411
251,0.996636847
252,0.996636847
253,0.996569584
254,0.996636847
255,0.996771373
256,0.99670411
257,0.996838636
258,0.996838636
259,0.996838636
260,0.996838636
261,0.99670411
262,0.996636847
263,0.99670411
264,0.996838636
265,0.996973162
266,0.996905899
267,0.996905899
268,0.996905899
269,0.996973162
270,0.996838636
271,0.996771373
272,0.996771373
273,0.996838636
274,0.99670411
275,0.99670411
276,0.996636847
277,0.99670411
278,0.99670411
279,0.996973162
280,0.997107688
281,0.997040425
282,0.997040425
283,0.996973162
284,0.996973162
285,0.996973162
286,0.996973162
287,0.996905899
288,0.996905899
289,0.996905899
290,0.996771373
291,0.996838636
292,0.996771373
293,0.996905899
294,0.996905899
295,0.996838636
296,0.996838636
297,0.996838636
298,0.996771373
299,0.996771373
300,0.996905899
301,0.996973162
302,0.996973162
303,0.996973162
304,0.996838636
305,0.996838636
306,0.996569584
307,0.996569584
308,0.996569584
309,0.996569584
310,0.996569584
311,0.996569584
312,0.996569584
313,0.996569584
314,0.996636847
315,0.996636847
316,0.99670411
317,0.99670411
318,0.996771373
319,0.996636847
320,0.996636847
321,0.996636847
322,0.99670411
323,0.996771373
324,0.99670411
325,0.99670411
326,0.99670411
327,0.99670411
328,0.996771373
329,0.996771373
330,0.996771373
331,0.996771373
332,0.99670411
333,0.99670411
334,0.996771373
335,0.996905899
336,0.996636847
337,0.996569584
338,0.996636847
339,0.996636847
340,0.996905899
341,0.997107688
342,0.996973162
343,0.997040425
344,0.997040425
345,0.997040425
346,0.997040425
347,0.997107688
348,0.997174951
349,0.997174951
350,0.997174951
351,0.997174951
352,0.997174951
353,0.997174951
354,0.997040425
355,0.997107688
356,0.997107688
357,0.997107688
358,0.997174951
359,0.997309477
360,0.997174951
361,0.997309477
362,0.997309477
363,0.997242214
364,0.997242214
365,0.997242214
366,0.997174951
367,0.997242214
368,0.997107688
369,0.997107688
370,0.997174951
371,0.997242214
372,0.997309477
373,0.997309477
374,0.997309477
375,0.997309477
376,0.997309477
377,0.99737674
378,0.99737674
379,0.99737674
380,0.997444003
381,0.99737674
382,0.99737674
383,0.99737674
384,0.997309477
385,0.997309477
386,0.997309477
387,0.99737674
388,0.997309477
389,0.997309477
390,0.997309477
391,0.997309477
392,0.997309477
393,0.997309477
394,0.99737674
395,0.997444003
396,0.997444003
397,0.997444003
398,0.99737674
399,0.997444003
400,0.997444003
401,0.997444003
402,0.997444003
403,0.99737674
404,0.997444003
405,0.997511267
406,0.997444003
407,0.997444003
408,0.997444003
409,0.997444003
410,0.997444003
411,0.997444003
412,0.997444003
413,0.997444003
414,0.997444003
415,0.997444003
416,0.997444003
417,0.997444003
418,0.99737674
419,0.99737674
420,0.99737674
421,0.997444003
422,0.997444003
423,0.997444003
424,0.997444003
425,0.997444003
426,0.997511267
427,0.997511267
428,0.997511267
429,0.997511267
430,0.997511267
431,0.997511267
432,0.997511267
433,0.997511267
434,0.997511267
435,0.997511267
436,0.997511267
437,0.997511267
438,0.997511267
439,0.997511267
440,0.997511267
441,0.997511267
442,0.997511267
443,0.997511267
444,0.997511267
445,0.997444003
446,0.997511267
447,0.997511267
448,0.997511267
449,0.997444003
450,0.997511267
451,0.997511267
452,0.997511267
453,0.997511267
454,0.997511267
455,0.997511267
456,0.997511267
457,0.997511267
458,0.997444003
459,0.997511267
460,0.99737674
461,0.99737674
462,0.99737674
463,0.99737674
464,0.99737674
465,0.99737674
466,0.99737674
467,0.99737674
468,0.99737674
469,0.99737674
470,0.99737674
471,0.99737674
472,0.99737674
473,0.99737674
474,0.997309477
475,0.997309477
476,0.997309477
477,0.997511267
478,0.99757853
479,0.99757853
480,0.99757853
481,0.99757853
482,0.99757853
483,0.99757853
484,0.99757853
485,0.99757853
486,0.99757853
487,0.99757853
488,0.99757853
489,0.99757853
490,0.99757853
491,0.99757853
492,0.99757853
493,0.99757853
494,0.99757853
495,0.99757853
496,0.997645793
497,0.997645793
498,0.997645793
